model,question,reference,generated,response_time,rouge1,rouge2,rougeL,semantic_similarity,medical_accuracy,groundedness,overall_accuracy
Baseline,What are the main symptoms of diabetes mellitus?,"The main symptoms of diabetes mellitus include polyuria (frequent urination), polydipsia (excessive thirst), polyphagia (increased hunger), unexplained weight loss, fatigue, and blurred vision.","The pain of uremia or diabetes is nonspecific, and the pain and tenderness frequently shift in location and intensity. TABLE 12-4 Common Physical and Psychological Symptoms of Terminally Ill Patients In the vast majority of cases, evaluations to determine the etiology of these symptoms should be limited to the history and physical examination.",0.03352952003479004,0.15584415584415584,0.02666666666666667,0.12987012987012986,0.6640385,0.5,1.0,0.3706401152270181
Baseline,What causes Type 1 diabetes?,"Type 1 diabetes is caused by autoimmune destruction of pancreatic beta cells, leading to absolute insulin deficiency requiring lifelong insulin therapy.",■ METABOLIC ABDOMINAL CRISES Pain of metabolic origin may simulate almost any other type of intraabdominal disease. ■ IMMUNOCOMPROMISE Evaluating and diagnosing causes of abdominal pain in immunosuppressed or otherwise immunocompromised patients is very difficult.,0.010069608688354492,0.14814814814814814,0.0,0.1111111111111111,0.30683887,0.0,1.0,0.1568664758293717
Baseline,How is hypertension diagnosed?,Hypertension is diagnosed when systolic blood pressure is ≥140 mmHg or diastolic blood pressure is ≥90 mmHg on multiple occasions.,"This cognitive shortcut is called the representativeness heuristic. Consider a patient with hypertension who has headache, palpitations, and diaphoresis.",0.01009678840637207,0.10256410256410256,0.0,0.05128205128205128,0.3104403,0.3333333333333333,1.0,0.19826029569674758
Baseline,What are first-line treatments for hypertension?,"First-line treatments for hypertension include lifestyle modifications and medications such as ACE inhibitors, ARBs, thiazide diuretics, and calcium channel blockers.","If the patient is uncertain what course to choose, prudence would dictate focusing on control of risk factors that may lead to the most rapid reduction in risk for acute events. Data are more heterogeneous but overall suggest no benefit for cancer- or cardiovascular-specific mortality, with the strategies emphasize upstream determinants of risk for chronic diseases, such as eating patterns, physical activity, and environmental and social determinants of health.",0.0115509033203125,0.10989010989010987,0.02247191011235955,0.08791208791208792,0.22146562,0.0,1.0,0.11589023467603621
Baseline,What causes myocardial infarction?,"Myocardial infarction is typically caused by atherosclerotic plaque rupture with subsequent thrombosis, leading to coronary artery occlusion and myocardial ischemia.","These conditions are additionally distinguished from nonischemic causes of acute myocardial injury, such as myocarditis. ■ MYOCARDIAL ISCHEMIA/INJURY Myocardial ischemia causing chest discomfort, termed angina pectoris, is a primary clinical concern in patients presenting with chest symptoms.",0.010509014129638672,0.2105263157894737,0.03636363636363636,0.10526315789473685,0.6083152,0.0,1.0,0.2614419372458207
Baseline,What is the treatment for STEMI?,"STEMI treatment includes immediate reperfusion with primary PCI or fibrinolytics, dual antiplatelet therapy, anticoagulation, beta-blockers, ACE inhibitors, and statins.","With the increasing availability of very large data sets (“big data”) from omic analyses and the electronic medical record, there is now a growing need for machine learning and artificial intelligence for unbiased analyses that enhance clinical predictive accuracy. For patients in whom the suspected mechanism is dysmotility, metoclopramide can be helpful.",0.012022972106933594,0.05555555555555555,0.0,0.05555555555555555,0.21434204,0.0,1.0,0.09208039061890708
Baseline,What are common causes of pneumonia?,"Common causes of community-acquired pneumonia include Streptococcus pneumoniae, Haemophilus influenzae, Mycoplasma pneumoniae, and Chlamydophila pneumoniae.","321) Gastrointestinal disorders are the most common cause of nontraumatic chest discomfort and often produce symptoms that are difficult to discern from more serious causes of chest pain, including myocardial ischemia. Gastroesophageal reflux and disorders of esophageal motility are common and should be considered in the differential diagnosis of chest pain (Fig.",0.01101827621459961,0.14705882352941177,0.0606060606060606,0.14705882352941177,0.2347484,0.0,1.0,0.1439539297538645
Baseline,How is pneumonia treated?,"Pneumonia treatment includes appropriate antibiotics based on severity and likely pathogens, plus supportive care with oxygen therapy and fluid management.","Many hospitals have implemented a bundle for ventilator-associated pneumonia in the intensive care unit that includes five measures (e.g., ensuring that the head of the bed is elevated). Another technique is SCAMPs, or Standardized Clinical Assessment and Management Plans.",0.011706113815307617,0.16393442622950818,0.0,0.13114754098360656,0.5827806,0.3333333333333333,1.0,0.3152713383481802
Baseline,What causes chronic kidney disease?,"Main causes of chronic kidney disease include diabetes mellitus, hypertension, glomerulonephritis, and polycystic kidney disease.","For example, a patient seen for management of hypertension or diabetes can have breast cancer (CHF; ∼ 75%), and AIDS have been associated with a higher prevalence of pain compared to other advanced illnesses, such as COPD (∼ 45%), chronic kidney disease (∼ 40%), and dementia (∼ 40%). strategies emphasize upstream determinants of risk for chronic diseases, such as eating patterns, physical activity, and environmental and social determinants of health.",0.011026144027709961,0.19753086419753085,0.05063291139240506,0.14814814814814814,0.44845214,0.8333333333333334,1.0,0.3876220632114528
Baseline,How is CKD managed?,"CKD management includes treating underlying causes, blood pressure control, ACE inhibitor/ARB therapy, dietary modifications, treating complications, and eventual renal replacement therapy.","Costs for nursing home care can be expensive: in Norway, the cost per patient is often over $100,000 per year in a publicly funded home, with the patient responsible for paying up to 80% depending on the family’s economic status. Partial funding for these units is provided by the four public regional health care administrations.",0.010057210922241211,0.0,0.0,0.0,0.061628934,0.0,1.0,0.018488680198788642
Baseline,What are characteristics of asthma?,"Asthma is characterized by chronic airway inflammation, variable airflow obstruction, bronchial hyperresponsiveness, and symptoms of wheezing, cough, chest tightness, and dyspnea.","Knowing what kind of insurance, if any, the patient has and whether certain medications are likely to be covered may help in determining appropriate prescriptions. A hurried approach may lead patients to believe that what they are relating is not of importance to the physician, and, as a result, they may withhold relevant information.",0.010039806365966797,0.10666666666666667,0.0,0.08,0.13439699,0.0,1.0,0.08698576221863429
Baseline,What is the treatment approach for asthma?,"Asthma treatment follows stepwise approach with inhaled corticosteroids as controller therapy, short-acting beta-agonists for rescue, and additional medications for severe cases.","■ PRIORITIZING PREVENTION STRATEGIES In secondary prevention, the patient already has manifest clinical disease and is therefore at high risk for progression. In patients who are eligible for primary prevention strategies, it is important to frame the discussion around the overall evidence base as well as an individual patient’s likelihood of benefit from a given preventive intervention.",0.010069847106933594,0.09999999999999999,0.0,0.049999999999999996,0.23056686,0.0,1.0,0.1066700577735901
General_LLM,What are the main symptoms of diabetes mellitus?,"The main symptoms of diabetes mellitus include polyuria (frequent urination), polydipsia (excessive thirst), polyphagia (increased hunger), unexplained weight loss, fatigue, and blurred vision.","The main symptoms of diabetes mellitus include nonspecific abdominal pain and tenderness that frequently shift in location and intensity. Additionally, diabetic acidosis may be precipitated by acute appendicitis or intestinal obstruction, leading to severe abdominal pain that does not resolve with correction of metabolic abnormalities.",2.970550298690796,0.2647058823529412,0.1818181818181818,0.2647058823529412,0.8017361,1.0,0.825,0.572873776099261
