model,question_id,question,category,reference_answer,generated_answer,response_time,rouge1,rouge2,rougeL,semantic_similarity,medical_accuracy,retrieval_relevance,groundedness,overall_accuracy
Baseline_Model,0,What are the main symptoms of diabetes mellitus?,endocrinology,"The main symptoms of diabetes mellitus include polyuria (frequent urination), polydipsia (excessive thirst), polyphagia (increased hunger), unexplained weight loss, fatigue, and blurred vision.","The pain of uremia or diabetes is nonspecific, and the pain and tenderness frequently shift in location and intensity. TABLE 12-4 Common Physical and Psychological Symptoms of Terminally Ill Patients In the vast majority of cases, evaluations to determine the etiology of these symptoms should be limited to the history and physical examination. Only a few of the common symptoms that present difficult management issues will be addressed in this chapter.",0.029987335205078125,0.12631578947368421,0.021505376344086023,0.10526315789473684,0.6654054,1.0,0.625,1.0,0.6375163546361421
Baseline_Model,1,What causes Type 1 diabetes?,endocrinology,"Type 1 diabetes is caused by autoimmune destruction of pancreatic beta cells, leading to absolute insulin deficiency and requiring lifelong insulin therapy.","■ METABOLIC ABDOMINAL CRISES Pain of metabolic origin may simulate almost any other type of intraabdominal disease. ■ IMMUNOCOMPROMISE Evaluating and diagnosing causes of abdominal pain in immunosuppressed or otherwise immunocompromised patients is very difficult. Even knowledge of the globin β chain mutation that causes sickle cell disease does not predict the many different manifestations of the disease (stroke syndrome, painful crises, and hemolytic crisis, among others).",0.011153697967529297,0.13953488372093023,0.0,0.11627906976744184,0.3253283,0.0,0.6,1.0,0.28945895225502727
Baseline_Model,2,How is hypertension diagnosed and classified?,cardiology,Hypertension is diagnosed when systolic blood pressure is ≥140 mmHg or diastolic blood pressure is ≥90 mmHg on multiple occasions. It is classified as primary (essential) or secondary hypertension.,"Pulmonary arterial hypertension is another disease for which definitive therapies straddle the pre- and postgenomic eras of precision medicine. Consider a patient with hypertension who has headache, palpitations, and diaphoresis. Doing so, however, would be incorrect given that other causes of hypertension are much more common than pheochromocytoma and this triad of symptoms can occur in patients who do not have it.",0.010053396224975586,0.08791208791208792,0.02247191011235955,0.06593406593406594,0.40246832,0.3333333333333333,0.6666666666666666,1.0,0.38044745681923386
Baseline_Model,3,What are the first-line treatments for hypertension?,cardiology,"First-line treatments for hypertension include lifestyle modifications (diet, exercise, weight loss) and medications such as ACE inhibitors, ARBs, thiazide diuretics, and calcium channel blockers.","nonsteroidal anti-inflammatory drugs (NSAIDs), are the initial treatments for mild pain. If the patient is uncertain what course to choose, prudence would dictate focusing on control of risk factors that may lead to the most rapid reduction in risk for acute events. Data are more heterogeneous but overall suggest no benefit for cancer- or cardiovascular-specific mortality, with the strategies emphasize upstream determinants of risk for chronic diseases, such as eating patterns, physical activity, and environmental and social determinants of health.",0.011108636856079102,0.11214953271028036,0.03809523809523809,0.09345794392523364,0.1804493,0.0,0.7142857142857143,1.0,0.23777965190254638
Baseline_Model,4,What causes myocardial infarction?,cardiology,"Myocardial infarction is typically caused by atherosclerotic plaque rupture with subsequent thrombosis, leading to coronary artery occlusion and insufficient myocardial oxygen supply.","These conditions are additionally distinguished from nonischemic causes of acute myocardial injury, such as myocarditis. ■ OTHER CARDIOPULMONARY CAUSES cardiac troponin concentration between serial samples is necessary for discriminating acute causes of myocardial injury from chronic elevation due to underlying structural heart disease, end-stage renal disease, or the rare presence of interfering antibodies. ■ MYOCARDIAL ISCHEMIA/INJURY Myocardial ischemia causing chest discomfort, termed angina pectoris, is a primary clinical concern in patients presenting with chest symptoms.",0.011021137237548828,0.12371134020618556,0.0,0.10309278350515463,0.60126877,0.0,0.5,1.0,0.36749403255501967
Baseline_Model,5,What are the key treatments for STEMI?,cardiology,"Key treatments for STEMI include immediate reperfusion therapy with primary PCI or thrombolytics, antiplatelet agents (aspirin, clopidogrel), anticoagulation, and supportive medications.","These and other features of the medical school curriculum provide the foundation for many of the themes highlighted in this chapter and are expected to allow physicians to progress, with experience and learning over time, from competency to proficiency to mastery. Entirely new areas of research, including studies of the human microbiome, epigenetics, and noncoding RNAs as regulatory features of the genome, have become important for understanding both health and disease. With the increasing availability of very large data sets (“big data”) from omic analyses and the electronic medical record, there is now a growing need for machine learning and artificial intelligence for unbiased analyses that enhance clinical predictive accuracy.",0.011072397232055664,0.07633587786259542,0.0,0.07633587786259542,0.108672716,0.0,0.5714285714285714,1.0,0.205502578075833
Baseline_Model,6,What are the most common causes of community-acquired pneumonia?,pulmonology,"The most common causes of community-acquired pneumonia are Streptococcus pneumoniae, Haemophilus influenzae, Mycoplasma pneumoniae, and Chlamydophila pneumoniae.","321) Gastrointestinal disorders are the most common cause of nontraumatic chest discomfort and often produce symptoms that are difficult to discern from more serious causes of chest pain, including myocardial ischemia. Gastroesophageal reflux and disorders of esophageal motility are common and should be considered in the differential diagnosis of chest pain (-1 and -1). Perhaps the most pressing need is to improve the quality of care for chronic diseases.",0.010110139846801758,0.16091954022988506,0.09411764705882353,0.16091954022988506,0.24241157,0.0,0.6666666666666666,1.0,0.2709993326972271
Baseline_Model,7,How is pneumonia diagnosed and treated?,pulmonology,"Pneumonia is diagnosed through clinical symptoms, physical examination, and chest X-ray showing consolidation. Treatment includes appropriate antibiotics based on severity and likely pathogens, plus supportive care.","Many hospitals have implemented a bundle for ventilator-associated pneumonia in the intensive care unit that includes five measures (e.g., ensuring that the head of the bed is elevated). Another technique is SCAMPs, or Standardized Clinical Assessment and Management Plans. The Chronic Care Model has been developed by Wagner and colleagues (-3); it suggests that a combination of strategies is necessary (including self-management support, changes in delivery system design, decision support, and information systems) and that these strategies must be delivered by a practice team composed of several providers, not just a physician.",0.010515451431274414,0.14754098360655737,0.0,0.09836065573770493,0.56462884,0.6666666666666666,0.6666666666666666,1.0,0.5303176135964732
Baseline_Model,8,What are the main causes of chronic kidney disease?,nephrology,"The main causes of chronic kidney disease include diabetes mellitus, hypertension, glomerulonephritis, and polycystic kidney disease.","The increase in eGFR is likely to disadvantage blacks for early referral to a nephrologist, early treatment of advanced chronic kidney disease, and kidney transplantation. It is increasingly clear that primordial prevention represents the ultimate means for reducing the burden of chronic diseases of aging. The time spent with adverse levels of the risk factor often causes irreversible damage that precludes complete restoration of low risk.",0.011494636535644531,0.2195121951219512,0.075,0.1951219512195122,0.44897044,0.6,0.6666666666666666,1.0,0.500544789651545
Baseline_Model,9,How is chronic kidney disease managed?,nephrology,"CKD management includes treating underlying causes, controlling blood pressure and diabetes, dietary modifications, treating complications like anemia and bone disease, and eventually renal replacement therapy.","Perhaps the most pressing need is to improve the quality of care for chronic diseases. The Chronic Care Model has been developed by Wagner and colleagues (-3); it suggests that a combination of strategies is necessary (including self-management support, changes in delivery system design, decision support, and information systems) and that these strategies must be delivered by a practice team composed of several providers, not just a physician. FIGURE 8-3 The Chronic Care Model, which focuses on improving care for chronic diseases, suggests that (1) delivery of high-quality care requires a range of strategies that must closely involve and engage the patient and (2) team care is essential.",0.009114742279052734,0.08823529411764706,0.0,0.07352941176470588,0.37315077,0.0,0.5,1.0,0.28841581800404714
